id,start (sec),end (sec),description,length
AO8RW,0.0,6.9,a person is putting a book on a shelf.,33.67
Y6R7T,20.8,30.0,person begins to play on a phone.,29.42
Y6R7T,20.8,30.0,person start playing on their phone.,29.42
Y6R7T,7.3,17.3,person pouring it into a glass.,29.42
Y6R7T,7.3,17.3,the person pours some water into the glass.,29.42
Y6R7T,7.3,17.3,person pours water into a glass.,29.42
IGDIE,22.7,34.0,person starts watching television.,33.12
7UPGT,13.9,19.7,person takes a cup out the fridge.,23.21
KBPDM,7.1,13.6,person sneezing on a mirror.,34.88
KBPDM,0.0,11.1,a person is awakening.,34.88
KBPDM,3.1,18.7,holding a small personal mirror.,34.88
IBIWF,0.0,14.5,a person is playing with their camera.,30.79
372CC,17.5,29.9,a person is sitting in front of a computer sneezing.,30.5
372CC,17.5,29.9,person starts sneezing.,30.5
N14BK,39.3,45.0,person put a notebook in a bag.,47.46
NQT1S,18.3,31.0,person all of a sudden they start sneezing.,30.21
F1VEE,27.0,32.0,person opening a door.,32.71
F1VEE,15.1,23.8,person they put on their shoes.,32.71
F1VEE,15.1,23.8,person puts on shoes.,32.71
F1VEE,19.2,28.2,person they take a mobile phone.,32.71
F1VEE,15.1,23.8,person put some shoes on.,32.71
YDWN5,6.2,12.6,a person tidying a wardrobe in an entryway is smiling.,13.62
QRWQ3,19.1,29.0,a person cooking on the stove.,35.71
QRWQ3,19.1,29.0,a person is cooking something on a stove.,35.71
SFHHR,21.5,28.0,the person puts the coffee on the table.,31.25
HWYTN,0.0,4.0,another person runs out the room.,30.33
HWYTN,0.0,4.0,another man running past.,30.33
HWYTN,0.0,4.0,another person is running in shoes.,30.33
GG4UR,10.0,15.4,person opens door to closet.,19.71
GG4UR,0.0,3.6,a person is seen watching television.,19.71
GG4UR,0.0,3.6,a person is watching television on the sofa.,19.71
GG4UR,0.0,3.6,person is sitting on couch watching television.,19.71
GG4UR,10.0,15.4,person seen opening the door to a hallway closet.,19.71
XDVAY,0.0,7.9,a person is awakening in bed.,31.79
MLBTH,0.0,8.0,person opens a laptop.,30.54
MLBTH,0.0,8.0,a person opens a laptop.,30.54
MLBTH,0.0,8.0,the person opens up a laptop.,30.54
IR31O,5.6,12.9,person drinking a glass of water.,30.96
IR31O,1.3,7.7,a person is opening a book.,30.96
KX8VW,16.3,22.1,person put back on the table.,21.96
KX8VW,5.9,15.4,person pours some water into a glass.,21.96
KX8VW,0.0,5.5,person sitting on the sofa eating out of a dish.,21.96
NVBBD,0.0,6.5,a person opens up a door.,31.17
NVBBD,19.1,32.0,person puts his shoes on.,31.17
NVBBD,19.1,32.0,person puts on a shoe.,31.17
NVBBD,0.0,6.5,person they open the door.,31.17
NVBBD,19.1,32.0,person start putting shoes on.,31.17
NVBBD,0.0,6.5,a person opens a door by grasping a doorknob.,31.17
4C4LC,27.3,32.0,person also turning off the light.,31.5
J4GX8,18.8,27.3,person drinking a glass of water.,29.21
J4GX8,0.0,8.4,person holding a glass.,29.21
J4GX8,16.6,22.2,person appear to take some medicine by swallowing it.,29.21
J4GX8,16.6,22.2,the person can take their medicine.,29.21
HPEE5,20.3,25.0,person close the door.,24.21
HPEE5,12.6,21.4,person open a door.,24.21
MBGPJ,0.0,12.8,person a guy is sitting in a chair.,26.58
MBGPJ,13.7,20.9,person takes out a glass.,26.58
MBGPJ,10.5,18.1,person opens a refrigerator.,26.58
NEM29,4.0,17.8,the person watches television.,32.42
NEM29,0.0,5.2,a person is undressing.,32.42
SA7GL,7.6,17.0,person they close the laptop.,30.83
SA7GL,0.0,6.8,a person is playing on a laptop.,30.83
SA7GL,0.0,6.8,a person sits in a chair working on a laptop.,30.83
0QA8P,7.3,28.1,the person undressed from all clothes.,51.67
0QA8P,38.1,43.6,person put the clothes.,51.67
0QA8P,0.0,9.8,person takes off their shoes.,51.67
BWHUX,4.7,10.1,person he puts something on a table next to dishes.,14.62
KJ8G2,5.2,10.4,person putting them on a table.,29.96
D87UN,1.5,11.4,person they are also drinking from a cup.,29.04
D87UN,1.5,11.4,person they're drinking a glass of water.,29.04
XJOJL,29.4,35.1,the person puts the sandwich on a table.,47.58
XJOJL,45.6,49.0,person snuggles up in a freshly cleaned blanket.,47.58
67MSU,22.7,31.0,person closes the refrigerator.,30.29
67MSU,0.0,3.8,person they open the refrigerator.,30.29
67MSU,0.0,3.8,a person opens a refrigerator.,30.29
9NRLA,13.6,19.7,person eats it.,26.96
9NRLA,13.6,19.7,person they stop to eat some food.,26.96
9NRLA,0.0,3.1,a person puts clothes into a washing machine.,26.96
I6NJ6,4.7,13.4,a person awakens in bed.,23.71
KG20W,16.2,31.8,a woman walks around holding a blanket/pillow.,31.33
68JOO,0.0,3.8,person they stand up.,30.58
68JOO,8.1,16.1,person sits in a chair.,30.58
68JOO,8.1,16.1,person sit back down in the chair.,30.58
68JOO,8.1,16.1,a person sitting in a chair snuggles a pillow.,30.58
68JOO,11.8,19.6,a person snuggles with a pillow.,30.58
QHARF,0.0,11.3,another person holds a bag.,31.96
QHARF,0.0,11.3,person one holding a bag.,31.96
QHARF,0.0,11.3,a person is holding a bag of food.,31.96
P1EK9,20.8,27.0,person throwing his bag down.,25.88
P1EK9,20.8,27.0,person they throw it on the floor.,25.88
P1EK9,20.8,27.0,person they throw the bag on the floor too.,25.88
P1EK9,5.8,11.2,a person walks into a room opens a box.,25.88
KZSA9,9.5,17.7,a person opens a box.,29.71
KZSA9,23.6,30.9,person takes a blanket out.,29.71
KZSA9,19.5,29.6,person closes the box.,29.71
LQ0LM,12.1,17.9,person close the cabinet.,31.33
LQ0LM,16.0,21.0,person they stand up.,31.33
LQ0LM,14.0,19.0,person open the cabinet  below.,31.33
ORW6Y,18.7,25.8,one person puts a box on a shelf.,30.12
ORW6Y,17.6,31.0,another person holding a pillow starts sneezing.,30.12
D8HN1,7.2,13.1,person eat a sandwich they walk out of the bathroom.,27.62
D8HN1,7.2,13.1,person eating a sandwich in front of a mirror.,27.62
D8HN1,23.9,28.9,person use their foot to close the door.,27.62
D8HN1,23.9,28.9,person close a door with their feet.,27.62
BY6ZZ,15.5,27.0,person lays on some clothes on the floor.,26.29
T8B7B,19.6,25.4,person puts the camera in a box on the floor.,29.29
T8B7B,22.3,28.8,the person closes the box.,29.29
T8B7B,20.0,27.7,person puts the coffee cup in a box.,29.29
D8OSC,7.1,17.9,person starts laughing.,27.79
TGDWN,21.4,29.2,person closes a door.,30.54
X2Q00,1.4,9.6,person after eating.,36.08
X2Q00,1.4,9.6,person they are on their laptop eating a sandwich.,36.08
X2Q00,23.7,33.8,the person debating on tidying up or reading a book.,36.08
S8TT8,23.5,31.6,person sit down in a chair.,32.88
S8TT8,13.3,23.6,person starts putting away clothes.,32.88
S8TT8,23.5,31.6,the person sits down on a chair.,32.88
S8TT8,13.3,23.6,person puts some clothes on a bench.,32.88
QG4N1,22.2,31.0,person put it on a shelf.,29.58
QG4N1,22.2,31.0,person puts the camera on a shelf.,29.58
AOMNM,0.0,5.1,a person runs into the closet.,29.75
X8MNV,2.1,8.1,a person walks through a doorway into a living room.,32.75
NHUV1,0.0,3.1,person opening a bag.,17.75
NNG97,1.4,6.6,a person puts a book on a shelf.,28.5
NNG97,1.4,6.6,the person puts the book back on the shelf.,28.5
NNG97,0.0,2.6,a person throws a book onto the shelf.,28.5
